Задание 1: Системы счисления|ID_ЗАДАНИЯ_1|ID_РЕШЕНИЯ_1
Задание 2: Кодирование информации|ID_ЗАДАНИЯ_2|ID_РЕШЕНИЯ_2
Задание 3: Алгебра логики|ID_ЗАДАНИЯ_3|ID_РЕШЕНИЯ_3
Задание 4: Алгоритмы|ID_ЗАДАНИЯ_4|ID_РЕШЕНИЯ_4
Задание 5: Программирование (задание 25)|ID_ЗАДАНИЯ_5|ID_РЕШЕНИЯ_5
Задание 6: Программирование (задание 26)|ID_ЗАДАНИЯ_6|ID_РЕШЕНИЯ_6
Задание 7: Программирование (задание 27)|ID_ЗАДАНИЯ_7|ID_РЕШЕНИЯ_7
Задание 8: Файловая система|ID_ЗАДАНИЯ_8|ID_РЕШЕНИЯ_8
Задание 9: Базы данных|ID_ЗАДАНИЯ_9|ID_РЕШЕНИЯ_9
Задание 10: Электронные таблицы|ID_ЗАДАНИЯ_10|ID_РЕШЕНИЯ_10
Задание 11: Компьютерные сети|ID_ЗАДАНИЯ_11|ID_РЕШЕНИЯ_11
Задание 12: Информационная безопасность|ID_ЗАДАНИЯ_12|ID_РЕШЕНИЯ_12
Задание 13: Моделирование|ID_ЗАДАНИЯ_13|ID_РЕШЕНИЯ_13
Задание 14: Теория игр|ID_ЗАДАНИЯ_14|ID_РЕШЕНИЯ_14
Задание 15: Динамическое программирование|ID_ЗАДАНИЯ_15|ID_РЕШЕНИЯ_15
