Тема 1: Системы счисления|ID_ФАЙЛА_1
Тема 2: Кодирование информации|ID_ФАЙЛА_2
Тема 3: Алгебра логики|ID_ФАЙЛА_3
Тема 4: Алгоритмы и исполнители|ID_ФАЙЛА_4
Тема 5: Программирование на Python (основы)|ID_ФАЙЛА_5
Тема 6: Программирование на Python (продвинутое)|ID_ФАЙЛА_6
Тема 7: Файловая система|ID_ФАЙЛА_7
Тема 8: Базы данных|ID_ФАЙЛА_8
Тема 9: Электронные таблицы|ID_ФАЙЛА_9
Тема 10: Компьютерные сети|ID_ФАЙЛА_10
Тема 11: Информационная безопасность|ID_ФАЙЛА_11
Тема 12: Моделирование|ID_ФАЙЛА_12
Тема 13: Теория игр|ID_ФАЙЛА_13
Тема 14: Динамическое программирование|ID_ФАЙЛА_14
Тема 15: Обработка чисел|ID_ФАЙЛА_15
