Задание 1: Уравнения|ID_ЗАДАНИЯ_1|ID_РЕШЕНИЯ_1
Задание 2: Неравенства|ID_ЗАДАНИЯ_2|ID_РЕШЕНИЯ_2
Задание 3: Тригонометрия|ID_ЗАДАНИЯ_3|ID_РЕШЕНИЯ_3
Задание 4: Производная|ID_ЗАДАНИЯ_4|ID_РЕШЕНИЯ_4
Задание 5: Стереометрия|ID_ЗАДАНИЯ_5|ID_РЕШЕНИЯ_5
Задание 6: Планиметрия|ID_ЗАДАНИЯ_6|ID_РЕШЕНИЯ_6
Задание 7: Теория вероятностей|ID_ЗАДАНИЯ_7|ID_РЕШЕНИЯ_7
Задание 8: Задачи с параметром|ID_ЗАДАНИЯ_8|ID_РЕШЕНИЯ_8
Задание 9: Экономические задачи|ID_ЗАДАНИЯ_9|ID_РЕШЕНИЯ_9
Задание 10: Текстовые задачи|ID_ЗАДАНИЯ_10|ID_РЕШЕНИЯ_10
Задание 11: Числа и свойства|ID_ЗАДАНИЯ_11|ID_РЕШЕНИЯ_11
Задание 12: Сложные уравнения|ID_ЗАДАНИЯ_12|ID_РЕШЕНИЯ_12
Задание 13: Системы уравнений|ID_ЗАДАНИЯ_13|ID_РЕШЕНИЯ_13
Задание 14: Комбинаторика|ID_ЗАДАНИЯ_14|ID_РЕШЕНИЯ_14
Задание 15: Олимпиадные задачи|ID_ЗАДАНИЯ_15|ID_РЕШЕНИЯ_15
