# Список ГОСТов для скачивания
# Формат: Название ГОСТа | ID файла

Виды, типы схем | 1FO-YfSsqNtFtOJ-wV5OAomPBW-SnDVpL
Условно-графические изображения(общая информация) | 1hXu_CwHI8niHYx_a1oFNIemFG4uQnifc
ГОСТ 2.721-74 — Условные графические обозначения (УГО) в схемах. Обозначения общего применения. | 105X3HKSJOT69MIg-VpSI2KiAYjoK6hNe
ГОСТ 21.404-85 — Автоматизация технологических процессов. | 1pUPuh6YcaPr3uRdFp8--n1THI5fyquxp
ГОСТ 2.722-68 — Условные графические обозначения (УГО) в схемах. Машины электрические. | 15E7qGb6vhMwx1zQKVCSjIn_xFZJP0vyf
ГОСТ 2.755-87 — Условные графические обозначения (УГО) в электрических схемах. Устройства коммутационные. | 12Tr1Hw1rtogR7WC9SWkis4WNEPUKOv7y
ГОСТ 2.710-81 — Обозначения буквенно-цифровые в схемах. | 1ccnpvjhAsIjkW33ZykTrOfwPaN7O0ycq
ГОСТ 2.702-2011 — Правила выполнения электрических схем. | 1kbo9Cuj8geXUwGKvouFa8ZU_Q4uVWxNN
ГОСТ 2.701-2008 — Схемы. Виды и типы. Общие требования. | 1sbwbA4KOaRUpL_hPpupnORtCUzoLd1jM
ГОСТ 2.729-68 — Условные графические обозначения (УГО) в схемах. Приборы электроизмерительные. | 16bH_wQtlcUOdDYMdk7_6WJy0lLbU1GhP
ГОСТ 2.756-76 — Условные графические обозначения (УГО). Воспринимающая часть устройств. | 162QboapnsKoJqDs5REM4VVp5G92TGZ1c
ГОСТ 32144–2013 «Качество электрической энергии». | 1KMuhRhO-5qPK6s-NjrZdOnmNeKKZHfLE
ГОСТ 30804.4.7-2013 Совместимость технических средств электромагнитная.  | 1tuojZVPv1itLCI9QSSYcHFXDhfBDkLOY
ГОСТ 30804.4.30-2013 (IEC 61000-4-30:2008) Совместимость технических средств электромагнитная. | 1_edDJiFjxyrPLsNAXKJbkGHy7zJ-NXqN
МИНИСТЕРСТВО ЭНЕРГЕТИКИ РОССИЙСКОЙ ФЕДЕРАЦИИ - ПУЭ не зарегистрированы Минюстом России.  | 1kA82sKGP2BUFTgT1rJsL5_Sjhmks9vtb
ПУЭ. Шестое и седьмое издания (все действующие разделы) по состоянию на 01.01.2026 г. Основополагающий документ для всех, кто работает в области электроснабжения. | 1obzL5F6BWXm6iEGCDicaAdrCpD0yledU
ГОСТ 2.709-89 Обозначения условные проводов и контактных соединений электрических элементов, оборудования и участков цепей в электрических схемах.   | 1AhrUROZXf3KPCb5cZmrMsWMdXq1ZfA-s

# ГОСТ 2.105-95 ЕСКД. Общие требования к текстовым документам|19QOCPFsZgNtxRxESmtKgsi3gOKmPWNUv
# ГОСТ 2.104-2006 ЕСКД. Основные надписи|1p91Yi0Dh8_19QIuwfs6niz9qV1Vs7gNs
# ГОСТ 2.301-68 ЕСКД. Форматы|18a_sA3qhksjKvZ1BlItlqdQjnAHF3K5J
# ГОСТ 2.302-68 ЕСКД. Масштабы|1nLP1v3VCzaWj3NEEhhVY3MyzIcsevnoO
# ГОСТ 2.303-68 ЕСКД. Линии|1LZpvWKo4CeZpdy4S_zUjeP8JHAzc6FmD
# ГОСТ 2.304-81 ЕСКД. Шрифты чертежные|14enFT_KXbB0olde8tMkWubr-aH9pvQln
# ГОСТ 2.305-2008 ЕСКД. Изображения - виды, разрезы, сечения|19QOCPFsZgNtxRxESmtKgsi3gOKmPWNUv
# ГОСТ 2.306-68 ЕСКД. Обозначения графических материалов|1p91Yi0Dh8_19QIuwfs6niz9qV1Vs7gNs
# ГОСТ 2.307-2011 ЕСКД. Нанесение размеров и предельных отклонений|18a_sA3qhksjKvZ1BlItlqdQjnAHF3K5J
# ГОСТ 2.308-2011 ЕСКД. Указание допусков формы и расположения поверхностей|1nLP1v3VCzaWj3NEEhhVY3MyzI
